part,title,date,rating,text
에세이,기분을 관리하면 인생이 관리된다,2022-04-13,4,"책 받자마자 순식간에 읽고 리뷰 남깁니다. 평소 너무 좋아하던 작가님의 신작이기에, 제목만 보고 덜컥 구매했습니다. 너무나도 만족스러웠던 책이었고, 주변 지인들에게 선물용으로 몇 권 더 구매했습니다. 이런 책을 써주신 작가님께 감사드립니다."
에세이,기분을 관리하면 인생이 관리된다,2022-04-12,4,"기대를 많이 받는 책이라, 기다림과 곡절이 많나봐요 :) 예상했던 날짜에 좋은 상태의 책을 받은 걸 보니, 저는 운이 좋나 봅니다. 이 리뷰를 쓰기 전, '이 책을 읽으면 기분이 어떤가요?'에 '잘읽혀요'의 선택지가 있어 기뻐요. 담고 있는 하나하나의 주제가 우리의 삶이기 때문에, 그것을 녹여내는 문장이 쉽고 직관적이고 간결하기 때문에. 단숨에 읽기에도 좋고 매일 기분을 관리한단 생각으로 한 장씩 읽어도 좋을 것 같아요. 저는 후자인데, 매일매일 삶에 밀접한 다양한 주제들을 만나면서도, 주제들에 대한 생각들을 받아들이는 것만으로 맘이 편해짐을 느낄 수 있었습니다. '기분을 관리하면 인생이 관리된다' 그 자체인 책이에요. 직접 느꼈기에, 그 느낌이 또렷하기에. 이 책이 많은 곳에 닿아 제가 느낀 감정과 영향력을 펼치길 바래봅니다."
에세이,기분을 관리하면 인생이 관리된다,2022-05-16,4,가독성이 너무 좋다. 위로가 많이 됐고 배울 내용이 많은 멘토같은 책이었다.
에세이,기분을 관리하면 인생이 관리된다,2022-05-16,4,오해하면 그대로 둔다 이후로 기다렸습니다. 감사합니다.
에세이,기분을 관리하면 인생이 관리된다,2022-05-14,4,많은걸 느끼며 위로 또한 받았네요^^ 책 좋아요^^
에세이,기분을 관리하면 인생이 관리된다,2022-05-08,4,"군더더기 없이 내용이 깔끔하고, 그동안 고민했던 것들이 위로가 되는것 같네요"
에세이,기분을 관리하면 인생이 관리된다,2022-05-05,4,"기분은 우리의 하루를 움직인다.
삶이 마음처럼 되지 않을 때, 우리가 마음 속에 지녀야 할 마음가짐에 대한 이야기.
좋지 못한 생각에 휩싸일 때 꼭 펼쳐볼 책"
에세이,기분을 관리하면 인생이 관리된다,2022-05-05,4,삶에 위로를 주는 책
에세이,기분을 관리하면 인생이 관리된다,2022-05-02,4,요즘 기분이 태도로나와 고민하다 구매했는데 잘 읽고있어요 좋아요~!
에세이,기분을 관리하면 인생이 관리된다,2022-05-26,4,제 인생은 이 책을 만나기 전과 후로 나뉩니다 김다슬 작가님 감사합니다 사랑합니다 애정합니다
